"","x"
"121",0.999999999
"122",-0.642495565
"123",0.675342236
"124",0.991237874
"125",0.999731967
"126",0.999994164
"127",0.999999822
"128",0.999999996
"129",-0.602282376
"130",-0.484911549
"131",-0.332825875
"132",-0.176790491
"133",0.004715406
"134",0.170372789
"135",0.341185581
"136",-0.962568755
"137",-0.874525157
"138",0.372176869
"139",0.985947603
"140",0.999687254
"141",0.999999894
"142",0.999999998
"143",-0.269658038
"144",0.168362609
"145",0.577881108
"146",0.802555516
"147",0.920919452
"148",0.966846692
"149",0.987409359
"150",-0.229705688
"151",0.514241163
"152",0.903181725
"153",0.981482281
"154",0.997093084
"155",0.999466814
"156",0.999916979
"157",-0.783645028
"158",-0.490145639
"159",0.118394508
"160",0.747868633
"161",0.943784458
"162",0.990224119
"163",0.998057335
"164",0.999670658
"165",-0.517744163
"166",-0.183218394
"167",0.235340859
"168",0.556520294
"169",0.782940887
"170",0.893872091
"171",-0.294164847
"172",0.311258835
"173",0.809447463
"174",0.955064966
"175",0.991474704
"176",0.998158739
"177",0.999657864
"178",-0.85403647
"179",-0.447580676
"180",-0.104735897
"181",0.298197738
"182",0.594171654
"183",0.79932905
"184",-0.213055017
"185",-0.006242403
"186",0.716959396
"187",0.982502036
"188",0.998887349
"189",0.999946436
"190",0.999999838
"191",-0.735709119
"192",-0.499303583
"193",-0.117490859
"194",0.267943077
"195",0.607524634
"196",0.799660876
"197",0.91008395
"198",-0.89540438
"199",-0.609252788
"200",-0.340161962
"201",0.033066439
"202",0.810108887
"203",0.907769557
"204",-0.557185926
"205",0.667757279
"206",0.992534534
"207",0.999806025
"208",0.999999909
"209",0.999999998
"210",-0.713185559
"211",-0.336536094
"212",-0.090637143
"213",0.1909039
"214",0.424008897
"215",0.627166181
"216",0.759919992
"217",0.856534826
"218",-0.830111125
"219",-0.553805563
"220",-0.340317955
"221",-0.059144767
"222",0.207146275
"223",0.466373739
"224",0.789486069
"225",-0.034374
"226",-0.03206303
"227",0.460215383
"228",0.995351281
"229",0.999988588
"230",1
"231",-0.37925531
"232",-0.211281972
"233",-0.012124418
"234",0.170859343
"235",0.358304703
"236",0.507692664
"237",-0.530271442
"238",-0.122479877
"239",0.523675383
"240",0.908546562
"241",0.98388711
"242",0.997705574
"243",0.999615212
"244",0.999945687
"245",-0.970253218
"246",-0.13115754
"247",0.667085628
"248",0.950095698
"249",0.992180064
"250",0.998994473
"251",0.999845698
"252",-0.715589785
"253",-0.694363267
"254",0.575797169
"255",0.999994365
"256",1
"257",1
"258",-0.950117118
"259",-0.815114864
"260",-0.114826342
"261",0.811619356
"262",0.998329847
"263",0.999986599
"264",-0.932116561
"265",-0.503573311
"266",-0.019604582
"267",0.512508277
"268",0.800714638
"269",0.933678586
"270",0.976720387
"271",-0.984985773
"272",0.651413705
"273",0.913106516
"274",0.983272279
"275",0.999326189
"276",-0.931350194
"277",-0.923023999
"278",-0.909574698
"279",-0.873961881
"280",-0.798978486
"281",-0.622563091
"282",-0.330875805
"283",0.105882415
"284",-0.993128536
"285",-0.71610494
"286",0.776237621
"287",0.961034285
"288",0.999172158
"289",0.999890581
"290",-0.787475581
"291",-0.513442098
"292",-0.318604092
"293",-0.06992032
"294",0.165723009
"295",0.40308233
"296",0.58143246
"297",0.7281049
"298",-0.941891512
"299",-0.577072232
"300",-0.13409038
"301",0.41234142
"302",0.74498445
"303",0.911262786
"304",0.967909228
"305",0.989692075
"306",-0.954223217
"307",-0.503280572
"308",0.077526742
"309",0.64670017
"310",0.885562923
"311",0.970035778
"312",0.991431769
"313",0.997845776
"314",-0.91093773
"315",-0.700601404
"316",-0.501584629
"317",-0.201172943
"318",0.112624988
"319",0.430549795
"320",0.651344798
"321",0.80933469
"322",-0.972467291
"323",-0.651158658
"324",0.523549801
"325",0.842404851
"326",0.988760673
"327",0.997273545
"328",-0.858751914
"329",-0.626509632
"330",0.280505678
"331",0.919129834
"332",0.992361948
"333",0.999447466
"334",0.999949863
"335",0.999996387
"336",-0.95003172
"337",-0.679497086
"338",-0.335651848
"339",0.574854202
"340",0.827349119
"341",0.930037816
"342",0.974944552
"343",-0.93347282
"344",-0.401895872
"345",0.682038283
"346",0.892387048
"347",0.969967055
"348",0.990869441
"349",0.997543961
"350",-0.652323359
"351",0.720463237
"352",0.997035743
"353",0.999959866
"354",0.999999641
"355",0.999999995
"356",1
"357",-0.637459338
