names	super	sub	color	size	opacity
PPIP5K2	3	29	purple	9	0
SCYL2	2	1	purple	9	0
PTK7	8	8	purple	9	0
STK31	6	3	purple	9	0
ROR2	5	14	purple	9	0
PIK3R4	6	12	purple	9	0
RIPK4	6	3	purple	9	0
NEK5	6	3	purple	9	0
CAMKV	6	3	purple	9	0
PDIK1L	2	9	purple	9	0
ADCK2	4	2	purple	9	0
SMG1	8	8	purple	9	0
CSNK1G3	8	19	purple	9	0
TNIK	5	14	purple	9	0
IP6K2	3	29	purple	9	0
PGK2	3	20	purple	9	0
CDKL4	7	21	purple	9	0
WEE2	6	3	purple	9	0
MUSK	5	4	purple	9	0
CAMK4	4	6	purple	9	0
MAPKAPK2	5	4	purple	9	0
DCK	6	28	purple	9	0
TEX14	6	3	purple	9	0
GRK6	1	22	purple	9	0
MAST4	4	2	purple	9	0
STK10	6	3	purple	9	0
TSSK3	2	10	purple	9	0
STK38L	6	12	purple	9	0
TRIB2	7	23	purple	9	0
TIE1	5	4	purple	9	0
MAPKAPK3	5	4	purple	9	0
CDK11A	6	3	purple	9	0
CDK11B	6	3	purple	9	0
PLK3	6	3	purple	9	0
TSSK1B	7	5	purple	9	0
CHKA	6	24	purple	9	0
CHKB	6	24	purple	9	0
NEK9	6	3	purple	9	0
MASTL	6	3	purple	9	0
NME3	6	25	purple	9	0
INSRR	4	2	purple	9	0
PLK2	6	3	purple	9	0
AK2	6	28	purple	9	0
AAK1	2	1	purple	9	0
TESK2	6	26	purple	9	0
DCLK1	6	26	purple	9	0
TRPM7	6	27	purple	9	0
CIT	2	9	purple	9	0
AGK	2	7	purple	9	0
GALK1	6	12	purple	9	0
GUCY2D	2	10	purple	9	0
MARK1	6	12	purple	9	0
PAN3	6	3	purple	9	0
STYK1	4	2	purple	9	0
PRAG1	2	7	purple	9	0
COQ8A	6	3	purple	9	0
UHMK1	7	5	purple	9	0
TRPM6	6	27	purple	9	0
ADK	6	28	purple	9	0
