KinaseNames	FastGreedyCommunity	SpinGlassCommunity	WalkTrapCommunity	LeadingEigenvectorCommunity	LabelPropogationCommunity	MCODEcommunity
GAK	4	4	8	1	1	1
KCC2B	3	2	3	2	1	1
KCC2D	3	2	3	2	1	1
ST38L	4	4	1	5	1	1
STK24	4	4	10	2	1	1
BUB1	4	4	19	1	1	1
WNK4	4	4	84	1	1	1
FGFR4	3	2	3	2	1	1
CSK	4	6	21	1	1	1
AGK	6	6	85	1	1	0
KSR1	3	2	21	2	1	1
P3C2A	2	7	13	1	1	1
PIM1	5	6	50	1	1	0
EPHA3	6	6	49	1	1	1
NEK11	4	4	86	1	1	1
MK04	1	6	26	1	1	1
FER	3	2	3	2	1	1
ACK1	4	6	11	1	1	1
CSF1R	2	9	21	1	1	1
NTRK2	4	6	3	1	1	1
ABL2	3	6	3	1	1	1
INSRR	5	5	87	2	1	0
NDK3	8	1	32	1	4	1
NDKB	8	1	32	1	4	1
ALK	4	6	21	1	1	1
HIPK3	6	6	88	1	1	0
AKT2	2	9	21	1	1	1
TRIB3	2	9	21	1	1	1
PAK3	3	6	3	2	1	1
DMPK	3	2	89	2	1	0
MST4	4	4	10	2	1	1
IKKE	2	9	40	1	1	1
ROCK2	6	6	15	2	1	1
DUSTY	4	4	90	1	1	0
LRRK1	6	6	8	1	1	1
STK25	4	4	10	11	1	1
PASK	5	5	12	1	1	0
STK16	5	5	12	1	1	1
TTBK1	4	4	91	1	1	0
TTBK2	4	4	92	2	1	1
LMTK1	4	4	93	1	1	0
LMTK2	4	4	94	1	1	0
M3K1	1	8	7	5	1	1
PK3CD	2	9	21	1	1	1
PAK6	6	6	47	1	1	1
PI4KA	2	7	13	1	1	1
LTK	4	4	11	2	1	0
MLKL	2	9	36	1	1	1
CDK1	4	4	19	1	1	1
BRD4	4	4	95	1	1	0
VRK2	4	10	18	5	1	1
UHMK1	3	6	96	2	1	0
CDKL5	6	6	6	1	1	0
WNK2	4	4	17	1	1	1
MYLK2	6	6	47	1	1	1
