,0,1,2,3,4,5,6,7,8,9,10,11
split62_test_score,0.6468580365180969,0.590203583240509,0.5925964117050171,0.5569718480110168,0.6839641332626343,0.5460293292999268,0.598380982875824,0.5677919983863831,0.6211289763450623,0.6641183495521545,0.6950379014015198,0.5953960418701172
split63_test_score,0.5196430087089539,0.32654088735580444,0.2879866063594818,0.33244311809539795,0.24264732003211975,0.44565528631210327,0.5564663410186768,0.5271962881088257,0.4190978407859802,0.538254976272583,0.3564082980155945,0.27337488532066345
split64_test_score,0.17862705886363983,0.15780308842658997,0.2704913318157196,0.15686534345149994,0.14302663505077362,0.1930554062128067,0.33175548911094666,0.15947836637496948,0.22579915821552277,0.14373847842216492,0.18036679923534393,0.17455361783504486
split65_test_score,0.14494125545024872,0.3105560541152954,0.21639783680438995,0.23556171357631683,0.15445540845394135,0.37846556305885315,0.2922438681125641,0.2158893495798111,0.26489344239234924,0.2657207250595093,0.2614552080631256,0.16366615891456604
split66_test_score,0.3328278064727783,0.3240516781806946,0.31247878074645996,0.2086537778377533,0.40890344977378845,0.21040745079517365,0.25860318541526794,0.5579231381416321,0.475644588470459,0.32323384284973145,0.2093696892261505,0.20703722536563873
split67_test_score,0.26116541028022766,0.4398341774940491,0.4533032774925232,0.3047791123390198,0.2698737680912018,0.25647589564323425,0.3653407096862793,0.29115164279937744,0.2854633033275604,0.2505512237548828,0.3035000264644623,0.29983091354370117
mean_test_score,0.4918924510917243,0.4976237863302231,0.5142926602240872,0.5218074081794304,0.5001311694436213,0.4769450120408745,0.5048917600994601,0.47927213109591427,0.5028468726531548,0.5140862286309985,0.5009145772851565,0.5075032579548219
std_test_score,0.30480758005910663,0.2887768460617022,0.3242982682788514,0.3551843150602857,0.28708371243201364,0.3079467260867063,0.3132202842468391,0.28951550880677,0.303222619857082,0.30886364141739947,0.29491418681298903,0.30676411048578917
rank_test_score,10,9,2,1,8,12,5,11,6,3,7,4
split0_train_score,0.10519280284643173,0.1018584743142128,0.10258404910564423,0.10506942123174667,0.1073414757847786,0.10054497420787811,0.09964770078659058,0.11507857590913773,0.10826243460178375,0.10107681155204773,0.1177738606929779,0.10576605796813965
split1_train_score,0.10795945674180984,0.10875855386257172,0.10884957015514374,0.11352743208408356,0.10420171916484833,0.10638563334941864,0.1090199202299118,0.10606276243925095,0.1077779084444046,0.10897626727819443,0.10547281801700592,0.11024519801139832
split2_train_score,0.11365929991006851,0.1048571765422821,0.10634537041187286,0.1090376079082489,0.10424456000328064,0.10413911193609238,0.11036896705627441,0.10870499163866043,0.11345776915550232,0.10877212882041931,0.10407212376594543,0.10440591722726822
split3_train_score,0.10939919948577881,0.10339000821113586,0.10864517092704773,0.10779837518930435,0.10897145420312881,0.10898090153932571,0.10467150062322617,0.11220376938581467,0.10288693755865097,0.1058603897690773,0.10417857021093369,0.10712425410747528
split4_train_score,0.10870099067687988,0.10848189145326614,0.108240507543087,0.10983936488628387,0.11081039160490036,0.10649240761995316,0.10521236062049866,0.10882129520177841,0.10191293805837631,0.10638365149497986,0.10351286083459854,0.10864538699388504
split5_train_score,0.10461292415857315,0.10812035948038101,0.10526230186223984,0.10340265184640884,0.10761372745037079,0.10468952357769012,0.10273498296737671,0.10482743382453918,0.10678117722272873,0.11354473233222961,0.1094498485326767,0.10689401626586914
split6_train_score,0.10887953639030457,0.10930642485618591,0.10852447152137756,0.10668713599443436,0.10292995721101761,0.10736354440450668,0.10577967017889023,0.10298825800418854,0.1048998311161995,0.1085437461733818,0.1063166931271553,0.10869128257036209
split7_train_score,0.10724793374538422,0.10753804445266724,0.10600268840789795,0.10392305254936218,0.1050589308142662,0.10763531178236008,0.10649634897708893,0.10850877314805984,0.10401252657175064,0.10873876512050629,0.10603286325931549,0.10217389464378357
split8_train_score,0.10600777715444565,0.10351675748825073,0.10377602279186249,0.10502456873655319,0.10694094002246857,0.1043243408203125,0.10179675370454788,0.10607034713029861,0.10838668793439865,0.10536418855190277,0.10430536419153214,0.10184695571660995
split9_train_score,0.10664135217666626,0.10847946256399155,0.10682649165391922,0.10514283180236816,0.109178826212883,0.1054018884897232,0.10288732498884201,0.10650169104337692,0.11232923716306686,0.10374657809734344,0.10660745948553085,0.1108938679099083
split10_train_score,0.10526973754167557,0.1034771278500557,0.10698573291301727,0.10745589435100555,0.10639066249132156,0.10483485460281372,0.11001122742891312,0.10496686398983002,0.10888174176216125,0.10586316883563995,0.1088104397058487,0.10814600437879562
